variable,Temperature,sea_pressure,Precipitation,Cloud,Sunshine,Radiation,Wind,WDirection
20200812T1400,26.420801,1001.5,0,65,18.510641,310.61,4.802594,160.55997
20200812T1500,25.9408,1001.1,0,100,0,300.82,5.1450386,158.7495
20200812T1600,24.9408,1001.3,0,100,0,384.47998,5.0545845,161.56505
20200812T1700,23.5408,1001.6,0,99,0,101.46,2.6237357,203.9625
20200812T1800,22.7408,1002.5,0,100,0,29.369999,2.2761226,200.55605
20200812T1900,22.1508,1003.5,0,100,0,0,1.8648,180
20200812T2000,21.9508,1004.5,0,100,0,0,2.0806506,140.19443
20200812T2100,21.8708,1005.1,0,100,0,0,2.4560864,102.52881
20200812T2200,21.3408,1004.7,0,49,0,0,2.7812977,73.30075
20200812T2300,21.5508,1004.2,0,100,0,0,3.2189233,65.55604
20200813T0000,21.3808,1004,0.2,100,0,0,2.3976,89.99999
20200813T0100,21.170801,1003.7,0.3,100,0,0,2.4123545,96.34019
20200813T0200,21.0908,1002.7,0,100,0,0,2.3976,89.99999
20200813T0300,21.1408,1001.8,0,100,0,0,1.6848617,71.565056
20200813T0400,21.1908,1001.5,0,100,0,0,1.0656,180
20200813T0500,21.250801,1001.6,0,100,0,0,2.8815567,146.30994
20200813T0600,21.2908,1001.7,0,100,0,14.24,3.207881,94.76363
20200813T0700,22.0108,1002,0,100,0,53.399998,2.9424841,95.19443
20200813T0800,22.7608,1002.2,0,100,0,113.03,2.260479,135
20200813T0900,22.830801,1002.4,0.1,100,0,112.14,3.2951863,104.03624
20200813T1000,22.170801,1002.2,2.2,100,0,80.1,5.334656,87.137596
20200813T1100,21.5708,1002.3,9,100,0,54.29,5.3545737,84.289406
20200813T1200,21.4008,1002.1,8.4,100,0,55.18,6.1503215,94.96974
20200813T1300,21.7308,1001.9,2.4,100,0,82.77,4.976763,105.5241
